ID1,QHCLUSTER,QHNUMBER,QHHOME,PS109_1R,PS109_1A,PS109_1M,PS109_1S,PS7,HVIDX,HHID
2023,22,32,1,1,2,1,2,2,4,      002203201
2023,22,65,1,1,2,1,2,1,3,      002206501
2023,22,75,1,1,2,1,2,1,3,      002207501
2023,22,105,1,1,4,1,1,1,3,      002210501
2023,22,105,1,1,1,1,2,2,4,      002210501
2023,22,107,1,1,1,1,2,1,3,      002210701
2023,31,2,1,1,3,3,2,1,3,      003100201
2023,31,3,1,1,1,3,2,1,3,      003100301
2023,31,150,1,1,8,3,1,1,5,      003115001
2023,31,150,1,1,3,3,1,2,6,      003115001
2023,31,150,1,1,1,3,2,3,7,      003115001
2023,31,153,1,1,6,3,1,1,3,      003115301
2023,31,153,1,1,5,3,1,2,4,      003115301
2023,31,153,1,1,3,3,1,3,5,      003115301
2023,31,153,1,1,0,3,2,4,6,      003115301
2023,31,154,1,1,7,3,1,1,5,      003115401
2023,31,154,1,1,3,3,2,2,6,      003115401
2023,31,224,1,1,0,3,1,1,3,      003122401
2023,31,224,1,1,5,3,2,2,4,      003122401
2023,31,225,1,1,7,3,1,1,5,      003122501
2023,31,225,1,1,3,3,1,2,6,      003122501
2023,31,225,1,1,1,3,2,3,7,      003122501
2023,31,226,1,1,3,3,1,1,3,      003122601
2023,31,226,1,1,0,3,2,2,4,      003122601
2023,31,227,1,1,6,3,2,1,2,      003122701
2023,33,49,1,1,8,1,1,1,5,      003304901
2023,33,49,1,1,5,1,2,2,6,      003304901
2023,33,50,1,1,9,1,1,1,4,      003305001
2023,33,50,1,1,9,1,1,2,5,      003305001
2023,33,50,1,1,7,1,2,3,6,      003305001
2023,33,51,1,1,8,1,1,1,6,      003305101
2023,33,51,1,1,3,1,2,2,7,      003305101
2023,33,53,1,1,0,1,2,1,3,      003305301
2023,33,77,1,1,1,1,2,1,3,      003307701
2023,33,78,1,1,6,1,1,1,5,      003307801
2023,33,78,1,1,1,1,2,2,6,      003307801
2023,33,79,1,1,8,1,2,1,5,      003307901
2023,33,81,1,1,0,1,1,1,3,      003308101
2023,33,81,1,1,6,1,2,2,4,      003308101
2023,33,103,1,1,4,1,2,1,3,      003310301
2023,33,104,1,1,1,1,2,1,5,      003310401
2023,33,105,1,1,3,1,1,1,3,      003310501
2023,33,105,1,1,4,1,2,2,4,      003310501
2023,33,106,1,1,8,1,1,1,5,      003310601
2023,33,106,1,1,6,1,1,2,6,      003310601
2023,33,106,1,1,3,1,2,3,7,      003310601
2023,34,1,1,1,1,1,2,1,3,      003400101
2023,34,2,1,1,7,0,2,1,3,      003400201
2023,34,3,1,1,3,0,1,1,7,      003400301
2023,34,3,1,1,1,0,2,2,8,      003400301
2023,34,4,1,1,7,0,1,1,2,      003400401
2023,34,4,1,1,0,1,2,2,3,      003400401
2023,34,37,1,1,3,1,1,1,3,      003403701
2023,34,37,1,1,2,1,1,2,4,      003403701
2023,34,37,1,1,0,1,2,3,5,      003403701
2023,34,39,1,1,4,1,2,1,3,      003403901
2023,34,100,1,1,6,1,1,1,4,      003410001
2023,34,100,1,1,0,1,2,2,5,      003410001
2023,34,101,1,1,4,1,1,1,3,      003410101
2023,34,101,1,1,2,1,1,2,4,      003410101
2023,34,101,1,1,0,1,2,3,5,      003410101
2023,34,102,1,1,9,1,1,1,3,      003410201
2023,34,102,1,1,6,1,2,2,4,      003410201
2023,34,104,1,1,5,1,2,1,3,      003410401
2023,34,108,1,1,0,1,2,1,3,      003410801
2023,35,22,1,1,4,2,2,1,5,      003502201
2023,35,24,1,1,0,1,2,1,3,      003502401
2023,35,26,1,1,0,1,2,1,3,      003502601
2023,35,137,1,1,2,1,2,1,3,      003513701
2023,35,139,1,1,5,1,1,1,3,      003513901
2023,35,139,1,1,3,1,1,2,4,      003513901
2023,35,139,1,1,2,2,2,3,5,      003513901
2023,35,140,1,1,8,2,1,1,3,      003514001
2023,35,140,1,1,4,2,1,2,4,      003514001
2023,35,140,1,1,2,2,1,3,5,      003514001
2023,35,140,1,1,7,2,2,4,6,      003514001
2023,35,141,1,1,0,1,2,1,3,      003514101
2023,35,145,1,1,7,2,1,1,4,      003514501
2023,35,145,1,1,6,2,1,2,5,      003514501
2023,35,145,1,1,1,2,2,3,6,      003514501
2023,35,146,1,1,6,1,1,1,4,      003514601
2023,35,146,1,1,3,1,1,2,5,      003514601
2023,35,146,1,1,1,1,2,3,6,      003514601
2023,35,149,1,1,5,2,1,1,3,      003514901
2023,35,149,1,1,1,2,2,2,4,      003514901
2023,35,150,1,1,3,1,1,1,3,      003515001
2023,35,150,1,1,0,1,2,2,4,      003515001
2023,35,151,1,1,4,2,1,1,2,      003515101
2023,35,151,1,1,1,2,2,2,3,      003515101
2023,38,1,1,2, , ,2,1,3,      003800101
2023,38,7,1,1,1,0,2,1,3,      003800701
2023,38,12,1,1,8,0,2,1,3,      003801201
2023,38,123,1,1,1,1,2,1,3,      003812301
2023,38,125,1,1,4,0,2,1,4,      003812501
2023,40,8,1,1,3,3,2,1,3,      004000801
2023,40,13,1,1,2,2,1,1,3,      004001301
2023,40,13,1,1,9,2,1,2,6,      004001301
2023,40,13,1,1,7,2,2,3,7,      004001301
2023,40,120,1,1,6,3,1,1,3,      004012001
2023,40,120,1,1,4,3,1,2,4,      004012001
2023,40,120,1,1,2,3,1,3,5,      004012001
2023,40,120,1,1,0,3,2,4,6,      004012001
2023,40,121,1,1,2,3,2,1,3,      004012101
2023,40,122,1,1,7,2,1,1,3,      004012201
2023,40,122,1,1,6,2,2,2,4,      004012201
2023,40,124,1,1,8,3,1,1,5,      004012401
2023,40,124,1,1,4,3,1,2,6,      004012401
2023,40,124,1,1,0,3,2,3,9,      004012401
2023,40,136,1,1,3,3,2,1,5,      004013601
2023,40,137,1,1,7,3,2,1,2,      004013701
2023,40,138,1,1,6,3,2,1,3,      004013801
2023,40,139,1,1,2,2,2,1,3,      004013901
2023,40,140,1,1,1,2,2,1,4,      004014001
2023,51,20,1,1,0,3,2,1,4,      005102001
2023,51,30,1,1,5,3,1,1,3,      005103001
2023,51,30,1,1,1,3,2,2,4,      005103001
2023,51,36,1,1,8,3,1,1,6,      005103601
2023,51,36,1,1,7,3,1,2,7,      005103601
2023,51,36,1,1,4,3,2,3,8,      005103601
2023,51,37,1,1,8,3,1,1,4,      005103701
2023,51,37,1,1,7,3,1,2,5,      005103701
2023,51,37,1,1,4,3,2,3,6,      005103701
2023,51,39,1,1,4,4,1,1,5,      005103901
2023,51,39,1,1,1,4,2,2,6,      005103901
2023,51,64,1,1,0,3,2,1,4,      005106401
2023,51,66,1,1,7,3,1,1,4,      005106601
2023,51,66,1,1,4,3,2,2,5,      005106601
2023,57,18,1,1,1,2,2,1,3,      005701801
2023,57,20,1,1,5,2,2,1,3,      005702001
2023,57,21,1,1,2,2,2,1,3,      005702101
2023,57,123,1,1,3,2,2,1,4,      005712301
2023,57,126,1,1,4,2,1,1,3,      005712601
2023,57,126,1,1,0,2,2,2,4,      005712601
2023,57,128,1,1,6,2,1,1,3,      005712801
2023,57,128,1,1,2,2,2,2,4,      005712801
2023,57,129,1,1,0,2,1,1,3,      005712901
2023,57,129,1,1,4,2,2,2,4,      005712901
2023,61,31,1,1,2,0,1,1,3,      006103101
2023,61,31,1,1,2,0,2,2,4,      006103101
2023,61,72,1,1,1,0,1,1,4,      006107201
2023,61,72,1,1,1,0,2,2,6,      006107201
2023,61,76,1,1,6,0,2,1,6,      006107601
2023,61,82,1,1,2,0,2,1,5,      006108201
2023,61,122,2,1,4,0,2,1,3,      006112202
2023,66,1,1,1,5,4,1,1,5,      006600101
2023,66,1,1,1,1,4,1,2,6,      006600101
2023,66,1,1,1,0,4,2,3,7,      006600101
2023,66,10,1,1,8,5,2,1,4,      006601001
2023,66,34,1,1,8,5,1,1,6,      006603401
2023,66,34,1,1,8,5,1,2,12,      006603401
2023,66,34,1,1,3,5,2,3,13,      006603401
2023,66,88,1,1,4,5,1,1,4,      006608801
2023,66,88,1,1,0,5,2,2,5,      006608801
2023,66,89,1,2, , ,2,1,5,      006608901
2023,66,92,1,1,6,5,2,1,5,      006609201
2023,67,21,1,2, , ,2,1,5,      006702101
2023,67,50,1,1,1,2,2,1,3,      006705001
2023,67,55,2,1,2,2,1,1,3,      006705502
2023,67,55,2,1,0,2,2,2,4,      006705502
2023,67,102,1,1,1,4,2,1,4,      006710201
2023,68,47,1,1,1,0,2,1,5,      006804701
2023,68,88,1,1,4,0,2,1,6,      006808801
2023,68,93,1,1,8,0,1,1,10,      006809301
2023,68,93,1,1,1,0,2,2,11,      006809301
2023,69,1,1,1,0,4,2,1,7,      006900101
2023,69,4,1,1,1,4,2,1,5,      006900401
2023,69,42,1,1,4,4,2,1,4,      006904201
2023,69,70,1,1,0,4,1,1,3,      006907001
2023,69,70,1,1,6,4,2,2,4,      006907001
2023,69,79,1,1,2,5,1,1,7,      006907901
2023,69,79,1,1,2,4,2,2,8,      006907901
2023,69,90,1,1,3,4,2,1,4,      006909001
2023,72,72,1,1,8,11,2,1,5,      007207201
2023,72,100,1,1,10,11,1,1,3,      007210001
2023,72,100,1,1,1,11,2,2,4,      007210001
2023,72,112,1,1,6,0,2,1,4,      007211201
2023,73,4,1,1,1,0,2,1,2,      007300401
2023,73,59,1,1,5,0,2,1,6,      007305901
2023,73,98,1,1,2,11,2,1,6,      007309801
2023,76,6,1,1,0,1,2,1,6,      007600601
2023,76,65,1,1,8,0,2,1,3,      007606501
2023,76,95,1,1,6,0,1,1,3,      007609501
2023,76,95,1,1,3,0,1,2,4,      007609501
2023,76,95,1,1,0,1,2,3,5,      007609501
2023,87,13,1,1,2,1,2,1,3,      008701301
2023,87,49,1,1,1,1,1,1,5,      008704901
2023,87,49,1,1,1,1,2,2,7,      008704901
2023,87,57,1,1,6,1,1,1,3,      008705701
2023,87,57,1,1,2,0,2,2,4,      008705701
2023,87,129,1,1,2,1,2,1,5,      008712901
2023,87,129,2,1,1,1,1,1,3,      008712902
2023,87,129,2,1,0,1,2,2,4,      008712902
2023,87,130,2,1,6,1,1,1,3,      008713002
2023,87,130,2,1,2,0,2,2,4,      008713002
2023,88,22,1,1,3,6,1,1,4,      008802201
2023,88,22,1,1,2,6,1,2,5,      008802201
2023,88,22,1,1,1,6,2,3,6,      008802201
2023,88,68,1,1,1,5,2,1,3,      008806801
2023,88,76,1,1,7,5,2,1,4,      008807601
2023,88,104,1,1,4,5,2,1,3,      008810401
2023,91,5,1,1,7,1,2,1,4,      009100501
2023,91,28,1,1,1,1,2,1,4,      009102801
2023,91,31,1,1,8,1,2,1,6,      009103101
2023,91,109,1,1,8,1,2,1,3,      009110901
2023,96,55,1,1,7,0,1,1,3,      009605501
2023,96,55,1,1,1,0,2,2,4,      009605501
2023,96,56,1,1,0,7,2,1,4,      009605601
2023,96,160,1,1,2,0,2,1,3,      009616001
2023,96,162,1,1,5,0,2,1,4,      009616201
2023,96,164,1,1,5,0,2,1,4,      009616401
2023,100,14,1,1,5,1,2,1,2,      010001401
2023,100,78,1,1,4,1,2,1,3,      010007801
2023,100,109,1,1,3,1,2,1,3,      010010901
2023,100,110,1,1,5,1,2,1,6,      010011001
2023,104,49,1,1,1,4,2,1,4,      010404901
2023,104,51,1,1,3,5,1,1,5,      010405101
2023,104,51,1,1,2,5,2,2,6,      010405101
2023,104,52,1,1,6,4,2,1,4,      010405201
2023,104,55,1,1,4,5,1,1,5,      010405501
2023,104,55,1,1,4,5,1,2,6,      010405501
2023,104,55,1,1,2,5,1,3,7,      010405501
2023,104,55,1,1,2,5,2,4,8,      010405501
2023,104,56,1,1,8,4,1,1,3,      010405601
2023,104,56,1,1,2,4,2,2,4,      010405601
2023,104,112,1,1,1,4,2,1,5,      010411201
2023,104,135,1,1,1,4,2,1,4,      010413501
2023,104,136,1,1,1,5,2,1,3,      010413601
2023,104,137,1,1,7,4,1,1,5,      010413701
2023,104,137,1,1,5,4,1,2,6,      010413701
2023,104,137,1,1,3,4,2,3,7,      010413701
2023,106,7,1,1,8,3,2,1,3,      010600701
2023,106,46,1,1,7,2,1,1,4,      010604601
2023,106,46,1,1,5,0,2,2,5,      010604601
2023,106,61,1,1,1,3,2,1,2,      010606101
2023,110,8,1,1,6,4,1,1,4,      011000801
2023,110,8,1,1,1,4,2,2,5,      011000801
2023,110,15,1,1,1,4,1,1,4,      011001501
2023,110,15,1,1,0,4,2,2,5,      011001501
2023,110,20,1,1,8,3,1,1,3,      011002001
2023,110,20,1,1,1,3,2,2,4,      011002001
2023,110,24,1,1,7,4,2,1,4,      011002401
2023,110,24,2,1,3,4,1,1,3,      011002402
2023,110,24,2,1,0,4,2,2,4,      011002402
2023,110,58,1,1,8,4,1,1,3,      011005801
2023,110,58,1,1,3,4,2,2,4,      011005801
2023,110,65,1,1,4,4,2,1,4,      011006501
2023,110,93,1,1,3,3,2,1,2,      011009301
2023,110,116,1,1,4,4,1,1,3,      011011601
2023,110,116,1,1,4,4,2,2,4,      011011601
2023,110,121,1,1,0,4,2,1,3,      011012101
2023,112,5,1,1,4,4,2,1,6,      011200501
2023,112,9,1,1,9,4,1,1,4,      011200901
2023,112,9,1,1,6,4,1,2,5,      011200901
2023,112,9,1,1,4,4,2,3,6,      011200901
2023,112,10,1,1,6,5,1,1,3,      011201001
2023,112,10,1,1,3,5,1,2,4,      011201001
2023,112,10,1,1,0,5,2,3,5,      011201001
2023,112,12,1,1,3,4,1,1,3,      011201201
2023,112,12,1,1,7,4,2,2,4,      011201201
2023,112,51,1,1,0,5,2,1,3,      011205101
2023,112,52,1,1,5,5,2,1,3,      011205201
2023,112,53,1,1,3,5,1,1,3,      011205301
2023,112,53,1,1,1,5,2,2,4,      011205301
2023,117,7,1,1,0,2,2,1,3,      011700701
2023,117,28,1,1,5,3,1,1,4,      011702801
2023,117,28,1,1,0,3,2,2,5,      011702801
2023,117,39,1,1,1,2,2,1,2,      011703901
2023,117,49,1,1,3,2,1,1,2,      011704901
2023,117,49,1,1,1,2,2,2,3,      011704901
2023,117,58,1,1,3,2,2,1,4,      011705801
2023,117,72,1,1,1,2,2,1,3,      011707201
2023,126,8,2,1,3,0,1,1,3,      012600802
2023,126,8,2,1,3,0,2,2,4,      012600802
2023,126,27,1,1,0,1,2,1,3,      012602701
2023,126,50,1,1,2,2,1,1,3,      012605001
2023,126,50,1,1,2,2,1,2,4,      012605001
2023,126,50,1,1,0,2,2,3,5,      012605001
2023,126,54,1,1,0,2,2,1,4,      012605401
2023,126,85,1,1,3,2,2,1,3,      012608501
2023,126,94,1,1,4,2,1,1,3,      012609401
2023,126,94,1,1,7,2,2,2,5,      012609401
2023,126,111,1,1,6,2,1,1,3,      012611101
2023,126,111,1,1,2,2,1,2,4,      012611101
2023,126,111,1,1,0,2,2,3,5,      012611101
2023,126,116,1,1,1,2,2,1,4,      012611601
2023,131,8,1,1,5,1,2,1,4,      013100801
2023,131,88,1,1,3,1,1,1,3,      013108801
2023,131,88,1,1,2,1,2,2,4,      013108801
2023,131,97,1,1,4,1,2,1,4,      013109701
2023,131,128,1,1,1,1,2,1,4,      013112801
2023,131,135,1,1,5,1,1,1,3,      013113501
2023,131,135,1,1,0,1,2,2,4,      013113501
2023,131,168,1,1,3,1,2,1,3,      013116801
2023,142,19,1,1,7,1,2,1,5,      014201901
2023,142,20,1,1,4,1,2,1,5,      014202001
2023,142,23,1,1,3,1,2,1,3,      014202301
2023,142,62,1,1,6,1,2,1,5,      014206201
2023,142,64,1,1,8,1,1,1,4,      014206401
2023,142,64,1,1,5,1,1,2,5,      014206401
2023,142,64,1,1,2,1,2,3,6,      014206401
2023,142,66,1,1,4,1,1,1,6,      014206601
2023,142,66,1,1,1,1,2,2,7,      014206601
2023,142,67,1,1,4,1,2,1,3,      014206701
2023,142,140,1,1,2,1,2,1,4,      014214001
2023,143,6,1,1,6,3,1,1,3,      014300601
2023,143,6,1,1,0,3,2,2,4,      014300601
2023,143,9,1,1,8,3,2,1,5,      014300901
2023,143,10,1,1,3,3,1,1,3,      014301001
2023,143,10,1,1,2,3,2,2,4,      014301001
2023,143,18,1,1,7,3,2,1,2,      014301801
2023,143,24,1,1,8,3,2,1,3,      014302401
2023,143,87,1,1,1,3,2,1,3,      014308701
2023,144,129,1,1,6,3,2,1,4,      014412901
2023,144,131,1,1,3,3,1,1,3,      014413101
2023,144,131,1,1,1,3,2,2,4,      014413101
2023,144,138,1,1,2,3,2,1,3,      014413801
2023,144,139,1,1,3,3,1,1,4,      014413901
2023,144,139,1,1,2,3,2,2,5,      014413901
2023,144,140,1,1,2,3,2,1,2,      014414001
2023,144,142,1,1,5,3,1,1,3,      014414201
2023,144,142,1,1,6,3,1,2,4,      014414201
2023,144,142,1,1,2,3,2,3,5,      014414201
2023,144,147,1,1,8,3,1,1,3,      014414701
2023,144,147,1,1,1,3,2,2,4,      014414701
2023,144,151,1,1,1,3,2,1,3,      014415101
2023,146,17,1,2, , ,2,1,4,      014601701
2023,146,20,1,2, , ,2,1,6,      014602001
2023,146,21,1,2, , ,1,1,3,      014602101
2023,146,21,1,2, , ,2,2,4,      014602101
2023,146,22,1,2, , ,2,1,4,      014602201
2023,146,95,1,2, , ,2,1,4,      014609501
2023,146,98,1,2, , ,1,1,3,      014609801
2023,146,98,1,2, , ,2,2,4,      014609801
2023,146,100,1,1,7,1,1,1,4,      014610001
2023,146,100,1,2, , ,2,2,5,      014610001
2023,146,109,1,1,3,1,1,1,5,      014610901
2023,146,109,1,2, , ,2,2,6,      014610901
2023,146,116,1,1,0,1,2,1,4,      014611601
2023,146,117,1,8, , ,2,1,4,      014611701
2023,146,118,1,2, , ,1,1,4,      014611801
2023,146,118,1,2, , ,1,2,5,      014611801
2023,146,118,1,2, , ,2,3,6,      014611801
2023,146,119,1,2, , ,2,1,5,      014611901
2023,157,58,1,2, , ,2,1,2,      015705801
2023,157,62,1,2, , ,1,1,3,      015706201
2023,157,62,1,1,3,1,2,2,4,      015706201
2023,157,122,1,1,6,1,2,1,4,      015712201
2023,157,127,1,1,0,1,2,1,3,      015712701
2023,163,10,1,1,6,1,2,1,5,      016301001
2023,163,53,1,1,6,1,1,1,3,      016305301
2023,163,53,1,1,4,1,2,2,4,      016305301
2023,163,61,1,1,2,1,2,1,3,      016306101
2023,163,71,1,1,0,1,2,1,3,      016307101
2023,163,102,1,1,4,0,1,1,4,      016310201
2023,163,102,1,1,0,1,2,2,5,      016310201
2023,163,112,1,1,6,1,2,1,5,      016311201
2023,163,114,1,1,3,1,2,1,3,      016311401
2023,163,136,1,1,1,1,2,1,3,      016313601
2023,166,76,1,1,2,3,2,1,3,      016607601
2023,166,78,1,1,1,3,2,1,3,      016607801
2023,166,79,1,1,1,2,2,1,3,      016607901
2023,166,121,1,1,0,2,2,1,3,      016612101
2023,166,142,1,1,5,2,2,1,3,      016614201
2023,166,143,1,1,7,3,2,1,4,      016614301
2023,167,17,1,1,0,1,2,1,3,      016701701
2023,167,18,1,1,7,1,2,1,3,      016701801
2023,167,42,1,1,5,1,1,1,3,      016704201
2023,167,42,1,1,1,1,2,2,4,      016704201
2023,167,43,1,1,8,1,1,1,4,      016704301
2023,167,43,1,1,5,1,2,2,5,      016704301
2023,167,50,1,1,5,1,1,1,3,      016705001
2023,167,50,1,1,3,1,2,2,4,      016705001
2023,167,52,1,1,8,1,2,1,3,      016705201
2023,167,77,1,1,3,1,2,1,5,      016707701
2023,167,82,1,1,8,1,1,1,3,      016708201
2023,167,82,1,1,0,1,2,2,4,      016708201
2023,167,100,1,1,1,1,2,1,4,      016710001
2023,167,108,1,1,5,1,1,1,5,      016710801
2023,167,108,1,1,8,1,2,2,6,      016710801
2023,180,24,1,1,0,1,2,1,3,      018002401
2023,180,70,1,1,2,1,2,1,6,      018007001
2023,180,89,1,1,2,1,1,1,3,      018008901
2023,180,89,1,1,1,1,2,2,4,      018008901
2023,180,111,1,1,1,1,2,1,3,      018011101
2023,183,7,1,1,1,1,2,1,3,      018300701
2023,183,45,1,1,0,1,2,1,5,      018304501
2023,183,69,1,1,1,1,2,1,3,      018306901
2023,186,99,1,2, , ,1,1,4,      018609901
2023,186,99,1,2, , ,2,2,5,      018609901
2023,186,112,1,1,0,3,2,1,3,      018611201
2023,189,21,2,1,1,2,2,1,3,      018902102
2023,189,33,1,1,2,0,2,1,3,      018903301
2023,189,101,1,1,0,5,2,1,5,      018910101
2023,189,124,1,1,0,10,2,1,6,      018912401
2023,190,29,1,1,0,2,2,1,3,      019002901
2023,190,40,1,1,2,1,2,1,3,      019004001
2023,190,123,1,1,1,2,2,1,3,      019012301
2023,190,142,1,1,3,2,2,1,4,      019014201
2023,190,152,1,1,5,2,2,1,7,      019015201
2023,193,14,1,1,3,3,1,1,4,      019301401
2023,193,14,1,1,1,3,1,2,6,      019301401
2023,193,14,1,1,0,3,2,3,7,      019301401
2023,193,63,1,1,1,5,2,1,4,      019306301
2023,193,75,1,1,1,3,2,1,3,      019307501
2023,193,93,1,1,1,3,2,1,4,      019309301
2023,200,4,1,1,4,1,1,1,3,      020000401
2023,200,4,1,1,3,1,2,2,4,      020000401
2023,200,23,1,1,2,1,2,1,3,      020002301
2023,200,88,1,1,0,1,2,1,3,      020008801
2023,200,130,1,1,5,1,1,1,6,      020013001
2023,200,130,1,2, , ,2,2,7,      020013001
2023,200,148,1,1,2,1,2,1,3,      020014801
2023,200,173,1,1,5,1,1,1,3,      020017301
2023,200,173,1,1,1,1,1,2,4,      020017301
2023,200,173,1,1,0,1,2,3,5,      020017301
2023,200,181,1,1,4,1,1,1,5,      020018101
2023,200,181,1,1,1,1,2,2,6,      020018101
2023,202,8,1,1,1,1,1,1,3,      020200801
2023,202,8,1,1,1,1,2,2,4,      020200801
2023,202,42,1,1,1,1,1,1,4,      020204201
2023,202,42,1,1,1,1,2,2,5,      020204201
2023,202,65,1,1,0,1,2,1,3,      020206501
2023,202,75,1,1,2,1,2,1,3,      020207501
2023,202,83,1,1,1,1,2,1,2,      020208301
2023,202,93,1,1,4,1,2,1,4,      020209301
2023,214,15,1,1,5,3,2,1,3,      021401501
2023,214,20,1,1,7,2,2,1,4,      021402001
2023,214,26,1,1,1,4,1,1,3,      021402601
2023,214,26,1,1,1,4,2,2,4,      021402601
2023,214,34,1,1,0,2,2,1,3,      021403401
2023,214,39,1,1,1,3,1,1,4,      021403901
2023,214,39,1,1,1,3,2,2,8,      021403901
2023,214,51,1,1,0,2,2,1,3,      021405101
2023,214,65,1,1,1,3,2,1,4,      021406501
2023,215,21,1,1,0,2,1,1,3,      021502101
2023,215,21,1,1,0,2,2,2,4,      021502101
2023,215,61,1,1,0,2,1,1,3,      021506101
2023,215,61,1,1,1,2,2,2,4,      021506101
2023,215,86,1,1,2,1,2,1,5,      021508601
2023,215,100,1,1,7,2,1,1,3,      021510001
2023,215,100,1,1,0,2,2,2,4,      021510001
2023,215,119,1,1,1,1,2,1,3,      021511901
2023,218,40,1,1,0,2,2,1,3,      021804001
2023,218,53,1,1,3,2,1,1,2,      021805301
2023,218,53,1,1,0,2,2,2,3,      021805301
2023,218,81,1,1,4,2,2,1,4,      021808101
2023,221,5,1,1,0,8,2,1,4,      022100501
2023,221,14,1,1,2,0,2,1,2,      022101401
2023,221,19,1,1,6,0,1,1,3,      022101901
2023,221,19,1,1,7,0,1,2,6,      022101901
2023,221,19,1,1,4,0,1,3,7,      022101901
2023,221,19,1,1,1,0,2,4,8,      022101901
2023,221,59,1,1,2,0,2,1,3,      022105901
2023,221,88,1,1,2,0,2,1,3,      022108801
2023,221,94,1,1,2,0,2,1,3,      022109401
2023,226,44,1,2, , ,2,1,3,      022604401
2023,226,77,1,1,4,0,2,1,3,      022607701
2023,229,57,1,1,4,0,2,1,3,      022905701
2023,229,230,1,1,4,3,2,1,3,      022923001
2023,231,7,1,1,6,2,1,1,4,      023100701
2023,231,7,1,1,3,2,1,2,5,      023100701
2023,231,7,1,1,2,2,2,3,6,      023100701
2023,231,19,1,1,4,1,1,1,3,      023101901
2023,231,19,1,1,3,1,2,2,4,      023101901
2023,231,40,1,1,4,2,2,1,4,      023104001
2023,231,52,1,1,6,2,1,1,4,      023105201
2023,231,52,1,1,0,2,2,2,5,      023105201
2023,231,69,1,1,2,1,1,1,3,      023106901
2023,231,69,1,1,1,1,2,2,4,      023106901
2023,231,71,1,1,6,1,1,1,4,      023107101
2023,231,71,1,1,4,1,2,2,5,      023107101
2023,232,19,1,1,0,1,2,1,6,      023201901
2023,232,78,1,2, , ,2,1,3,      023207801
2023,232,165,1,1,7,0,2,1,2,      023216501
2023,232,168,1,1,4,1,1,1,3,      023216801
2023,232,168,1,1,1,1,2,2,9,      023216801
2023,232,171,1,1,0,1,2,1,3,      023217101
2023,242,52,1,1,4,1,2,1,4,      024205201
2023,242,119,1,1,5,1,1,1,3,      024211901
2023,242,119,1,1,1,1,2,2,4,      024211901
2023,242,132,1,1,5,1,1,1,3,      024213201
2023,242,132,1,1,1,1,2,2,4,      024213201
2023,242,146,1,2, , ,2,1,4,      024214601
2023,244,23,1,1,3,3,2,1,3,      024402301
2023,244,26,1,1,5,3,2,1,3,      024402601
2023,244,48,1,1,4,3,2,1,2,      024404801
2023,244,76,1,1,5,3,2,1,3,      024407601
