ID1,caseid,QCOL93,Q1035NO,Q1036N,Q1037M,Q1037P,Q1037O,Q1040A,Q1040B,Q1040C,Q1040D,Q1040E,Q1040F,Q1040G,Q1040H,Q1040I,Q1040X
2025,      435215701  2,1,2,A,BC, , , , , , , , , ,2,2, 
2025,      435303501  2,1,1,AB,AB,B, , , , , , , , , , , 
2025,      435307201  2,1,1,AB,BC,BC, , , , , , , , , , , 
2025,      435310301  1,1,4,A,K, , , , , , , , , , , , 
2025,      435312201  2,1,1,AB,CE,CE, , , , , , , , , , , 
2025,      435313701  2,1,1,AB,BC,BC, , , , , , , , , , , 
2025,      435314401  2,1,1,A,B, , , , , , , , , , , , 
2025,      435402401  2,1,1,AB,A,A, , , , , , , , , , , 
2025,      435402501  2,1,1,A,BK, , , , , , , , , , , , 
2025,      435402701  2,1,3,AB,C,C, , , , , , , , , , , 
2025,      435402801  4,1,3,Y, , , , , , , , , , , , , 
2025,      435402801  4,2,2,AC,AB, ,AB, , , , , , , , , , 
2025,      435402801  4,3,1,AC,AB, ,AB, , , , , , , , , , 
2025,      435404801  2,1,3,B, ,B, , ,2,2,2,2, , ,2,2, 
2025,      435404801  2,2,2,B, ,B, , ,1,1,1,1, , ,2,2, 
2025,      435405001  1,1,1,A,AB, , , , , , , , , , , , 
2025,      435405101  1,1,3,A,CK, , , , , , , , , , , , 
2025,      435412101  1,1,4,AD,BE, ,BE, , , , , , , , , , 
2025,      435412201  2,1,2,AB,AB,BK, ,2,2,2,2, , , , , , 
2025,      435412401  2,1,2,A,ACK, , ,2, , ,2, , , , , , 
2025,      435412401  2,2,1,A,ACK, , ,2, , ,2, , , , , , 
2025,      435506501  2,1,3,A,EK, , ,2, ,2,2, , , , , , 
2025,      435506901  2,1,1,AB,K,K, , , , , , , , , , , 
2025,      435512301  2,1,3,A,B, , , , , , , , , , , , 
2025,      435512401  2,1,10,AB,K,K, , , , , , , , , , , 
2025,      435512401  2,2,9,AB,K,K, , , , , , , , , , , 
2025,      435512501  2,1,2,AB,BEK,BEK, , , , , , , , , , , 
2025,      435512501  2,2,1,AB,BE,BE, , , , , , , , , , , 
2025,      435512701  1,1,2,Y, , , , , , , , , , , , , 
2025,      435512701  1,2,1,A,CK, , , , , , , , , , , , 
2025,      435512801  2,1,4,Y, , , , , , , , , , , , , 
2025,      435512801  2,2,3,AB,BE,BE, , , , , , , , , , , 
2025,      435512801  2,3,2,AB,BE,BE, , , , , , , , , , , 
2025,      435516101  2,1,1,A,K, , ,2,2,2, , , , , , , 
2025,      435516801  2,1,2,AB,B,B, , , , , , , , , , , 
2025,      435516801  2,2,1,A,B, , , , , , , , , , , , 
2025,      435516901  2,1,7,AB,BE,B, , , , , , , , , , , 
2025,      435516901  2,2,6,AB,BE,BE, , , , , , , , , , , 
2025,      435603701  1,1,6,Y, , , , , , , , , , , , , 
2025,      435603801  2,1,5,Y, , , , , , , , , , , , , 
2025,      435603901  2,1,9,AB,ABE,ABE, , , , , , , , , , , 
2025,      435616301  2,1,1,A,CK, , ,1, ,1,1, , , , , , 
2025,      435703001  2,1,1,AB,BE,B, , , , , , , , , , , 
2025,      435707201  2,1,1,AB,ABC,BC, , , , , , , , , , , 
2025,      435707301  2,1,2,AB,BK,K, , , , , , , , , , , 
2025,      435707401  1,1,3,AB,EK,EK, , , , , , , , , , , 
2025,      435800101  2,1,6,Y, , , , , , , , , , , , , 
2025,      435800101  2,2,5,AB,ABE,ABE, , , , , , , , , , , 
2025,      435800201  2,1,3,AB,BK,K, ,2,2, , , , , , , , 
2025,      435804801  2,1,1,AB,BK,BK, ,2,2,2,2, , , , , , 
2025,      435908501  1,1,2,A,BCE, , , , , , , , , , , , 
2025,      435909001  1,1,1,A,K, , , , , , , , , , , , 
2025,      435913801  2,1,1,AB,C,C, , , , , , , , , , , 
2025,      435914001  2,1,4,AB,BE,BE, , , , , , , , , , , 
2025,      435914301  1,1,2,AB,BC,C, , ,1,1, , , , , , , 
2025,      436012001  2,1,3,A,ACK, , , , , , , , , , , , 
2025,      436103801  2,1,1,AB,B,B, , , , , , , , , , , 
2025,      436106501  3,1,1,A,K, , , , , , , , , , , , 
2025,      436113401  1,1,1,A,BCE, , , , , , , , , , , , 
2025,      436113501  2,1,1,AB,EK,EK, , , , , , , , , , , 
2025,      436113801  2,1,2,AB,B,B, , , , , , , , , , , 
2025,      436201301  2,1,2,AB,BC,BC, , , , , , , , , , , 
2025,      436203801  2,1,2,AB,BC,BC, , , , , , , , , , , 
2025,      436204001  2,1,1,AB,BC,BC, , , , , , , , , , , 
2025,      436204101  5,1,2,AB,K,K, , , , , , , , , , , 
2025,      436210001  2,1,3,AB,BE,BE, , , , , , , , , , , 
2025,      436210201  2,1,2,A,B, , , , , , , , , , , , 
2025,      436303001  2,1,1,A,CFK, , , , , , , , , , , , 
2025,      436305601  4,1,1,A,B, , , , , , , , , , , , 
2025,      436307001  2,1,2,A,B, , , , , , , , , , , , 
2025,      436307401  2,1,2,A,B, , , , , , , , , , , , 
2025,      436307901  1,1,3,Y, , , , , , , , , , , , , 
2025,      436307901  1,2,2,A,ACK, , , , , , , , , , , , 
2025,      436400501  2,1,1,ABC,BE,BE,BE, , , , , , , , , , 
2025,      436407101  2,1,2,A,EK, , , , , , , , , , , , 
2025,      436409101  3,1,2,A,B, , ,2, , , , , , , , , 
2025,      436409101  3,2,1,AX,B, ,K,2, , , , , , , , , 
2025,      436410501  3,1,2,A,K, , , , , , , , , , , , 
2025,      436507701  2,1,1,AE,CK, ,K, , , , , , , , , , 
2025,      436509501  2,1,1,AB,B,BC, ,2, , , , , , , , , 
2025,      436603401  2,1,3,AB,K,K, , , , , , , , , , , 
2025,      436604301  1,1,2,A,K, , , , , , , , , , , , 
2025,      436604301  1,2,1,A,C, , , , , , , , , , , , 
2025,      436605001  6,1,2,AB,C,C, ,2, , , , , , , , , 
2025,      436613301  6,1,1,AB,CK,B, , , , , , , , , , , 
2025,      436702401  2,1,1,A,K, , , , , , , , , , , , 
2025,      436706901  2,1,3,AB,AB,BC, , , , , , , , , , , 
2025,      436811101  5,1,1,ACD,BC, ,C, , , , , , , , , , 
2025,      436811201  1,1,5,A,CG, , ,2, , , , , , , , , 
2025,      436902101  2,1,2,AB,BCK,BCK, ,2,2,2, ,2, , , , , 
2025,      436903601  2,1,2,AB,B,B, , ,2,2, , , , , , , 
2025,      436905001  1,1,3,AD,CK, ,BK,2, , , , , , , ,2, 
2025,      436907701  2,1,3,AB,BK,K, , , , , , , , , , , 
2025,      436907701  2,2,2,AB,BCK,CK, , , , , , , , , , , 
2025,      436907701  2,3,1,AB,BCK,CK, , , , , , , , , , , 
2025,      436913401  2,1,2,AB,K,K, , , , , , , , , , , 
2025,      437007601  2,1,1,AB,AK,AK, , , , , , , , , , , 
2025,      437012501  1,1,2,AB,CEK,CK, ,1,1, , , , , , , , 
2025,      437012601  2,1,1,AB,K,K, , , , , , , , , , , 
2025,      437101901  5,1,1,AC,CE, ,CE, , , , , , , , , , 
2025,      437102201  1,1,4,AB,B,B, , , , , , , , , , , 
2025,      437102601  2,1,1,A,BK, , , ,2, , , , , , , , 
2025,      437200101  2,1,2,AB,C,C, , , , , , , , , , , 
2025,      437202301  2,1,3,AB,CG,C, ,2, , , , , , , , , 
2025,      437206901  1,1,3,A,BK, , , , , , , , , , , , 
2025,      437209501  1,1,2,A,K, , , , , , , , , , , , 
2025,      437209601  3,1,1,A,K, , , , , , , , , , , , 
2025,      437300201  1,1,4,AD,C, ,C, , , , , , , , , , 
2025,      437312301  2,1,1,AB,ABC,ABC, , , , , , , , , , , 
2025,      437400401  2,1,3,AB,EK,CK, , , , , , , , , , , 
2025,      437403501  2,1,5,AB,K,K, , , , , , , , , , , 
2025,      437406401  2,1,1,AB,B,B, , , , , , , , , , , 
2025,      437501102  2,1,2,AB,CK,K, , , , , , , , , , , 
2025,      437501801  2,1,1,AB,K,K, , , , , , , , , , , 
2025,      437504401  2,1,2,A,K, , , , , , , , , , , , 
2025,      437505001  2,1,3,AB,CE,B, , , , , , , , , , , 
2025,      437508101  2,1,2,AB,K,K, , , , , , , , , , , 
2025,      437509001  2,1,2,AB,C,C, , , , , , , , , , , 
2025,      437605301  2,1,1,ABC,K,K,K, , , , , , , , , , 
2025,      437606501  2,1,3,AB,CK,CK, , , , , , , , , , , 
2025,      437606601  2,1,3,AB,BK,B, , , , , , , , , , , 
2025,      437706401  2,1,4,A,K, , , , , , , , , , , , 
2025,      437803601  4,1,1,A,BK, , , , , , , , , , , , 
2025,      437804101  2,1,3,Y, , , , , , , , , , , , , 
2025,      437804501  2,1,2,AB,BEK,BK, , , , , , , , , , , 
2025,      437815001  5,1,1,AB,B,B, ,1, , , , , , , , , 
2025,      437815401  1,1,4,AD,CK, ,CK, , , , , , , , , , 
2025,      437815501  2,1,1,ABC,BCK,BC,B, , , , , , , , , , 
2025,      437815701  1,1,3,A,ABK, , , , , , , , , , , , 
2025,      437815801  2,1,2,AB,C,C, , , , , , , , , , , 
2025,      437815901  2,1,2,A,K, , , , , , , , , , , , 
2025,      438000101  2,1,3,AB,B,B, , , , , , , , , , , 
2025,      438000201  2,1,3,AB,K,B, , , , , , , , , , , 
2025,      438003701  2,1,3,AB,K,K, , , , , , , , , , , 
2025,      438004301  5,1,2,ACD,K, ,K, , , , , , , , , , 
2025,      438100801  1,1,1,AB,ABE,B, , , , , , , , , , , 
2025,      438105301  1,1,2,AB,BCK,BK, , , , , , , , , , , 
2025,      438200101  2,1,2,AB,K,K, , , , , , , , , , , 
2025,      438200101  2,2,1,AB,K,K, , , , , , , , , , , 
2025,      438200201  2,1,5,AB,K,K, , , , , , , , , , , 
2025,      438207101  2,1,2,AB,K,K, , , , , , , , , , , 
2025,      438300101  2,1,3,AB,K,K, , ,2, ,2, , , , , , 
2025,      438303901  2,1,4,AB,IK,IK, , , , , , , , , , , 
2025,      438304001  2,1,1,AB,ABK,BK, , , , , , , , , , , 
2025,      438304301  1,1,2,A,B, , ,1,1,1, ,1, ,1, , , 
2025,      438403501  2,1,4,AB,BC,BC, , , , , , , , , , , 
2025,      438407901  1,1,2,A,ABC, , , , , , , , , , , , 
2025,      438408101  2,1,4,ABD,K,K,K, , , , , , , , , , 
2025,      438505801  2,1,2,AB,AK,K, , , , , , , , , , , 
2025,      438509901  2,1,1,AB,K,K, , , , , , , , , , , 
2025,      438517701  2,1,2,AB,BCI,BC, , , , , , , , , , , 
2025,      438518301  2,1,3,AB,K,K, ,2, ,2,2, , , , , , 
2025,      438518301  2,2,2,AB,K,K, ,2, ,2,2, , , , , , 
2025,      438603401  1,1,1,A,BCK, , , , , , , , , , , , 
2025,      438604201  2,1,1,AF,BE, ,K, , , , , , , , , , 
2025,      438604301  2,1,3,AB,ABCF,B, , ,2, , , , , ,2, , 
2025,      438606201  2,1,1,AB,ACK,CK, , , , , , , , , , , 
2025,      438610501  2,1,2,AB,BEK,K, , , , , , , , , , , 
2025,      438700901  1,1,2,AB,ABK,BK, , , , , , , , , , , 
2025,      438703601  1,1,5,AD,BK, ,K,1,1,1,1, , , , , , 
2025,      438703701  1,1,2,AB,BK,BK, , , , , , , , , , , 
2025,      438704301  2,1,3,A,BEK, , , ,2,2,2, , , , , , 
2025,      438708301  1,1,3,A,CK, , ,2,2, , , , , , , , 
2025,      438710601  2,1,1,AB,CK,BK, , , , , , , , , , , 
2025,      438800301  2,1,2,AB,BEK,BE, , , , , , , , , , , 
2025,      438803501  2,1,3,A,BEK, , , , , , , , , , , , 
2025,      438804701  1,1,3,AD,CX, ,CX,2, , , , , , , , , 
2025,      438807201  2,1,7,AB,K,K, , , , , , , , , , , 
2025,      438807901  2,1,2,A,BEK, , , , , , , , , , , , 
2025,      438808201  2,1,4,AB,CK,CK, , , , , , , , , , , 
2025,      438808701  2,1,1,B, ,BEK, , , , , , , , , , , 
2025,      438901001  2,1,3,AB,K,K, , , , , , , , , , , 
2025,      438901001  2,2,2,AB,ABK,K, , , , , , , , , , , 
2025,      438902101  2,1,2,AB,ABK,EK, , ,2, , , , , , , , 
2025,      438904001  2,1,1,AB,AC,C, , , , , , , , , , , 
2025,      438912201  4,1,1,AC,CK, ,BK, , , , , , , , , , 
2025,      438912301  2,1,1,AB,BK,BK, , , , , , , , , , , 
2025,      439000701  2,1,2,AB,K,K, , , , , , , , , , , 
2025,      439002501  2,1,4,AB,BK,BK, , , , , , , , , , , 
2025,      439004101  2,1,2,AB,K,K, , , , , , , , , , , 
2025,      439006501  2,1,1,AB,EK,EK, , , , , , , , , , , 
2025,      439007001  1,1,2,A,K, , , , , , , , , , , , 
2025,      439007001  1,2,1,A,ABCK, , , , , , , , , , , , 
2025,      439008201  2,1,2,AB,CK,CK, , , , , , , , , , , 
2025,      439103501  1,1,3,A,K, , , , , , , , , , , , 
2025,      439103601  2,1,1,AB,K,K, , , , , , , , , , , 
2025,      439108301  1,1,2,AB,K,K, , , , , , , , , , , 
2025,      439109201  2,1,3,AB,K,K, ,2,2, , , , , ,2, , 
2025,      439201401  3,1,1,ACD,BEK, ,K, , , , , , , , , , 
2025,      439201801  2,1,1,A,CE, , , , , , , , , , , , 
2025,      439209501  2,1,2,AB,EK,K, , , , , , , , , , , 
2025,      439209501  2,2,1,AB,EK,K, , , , , , , , , , , 
2025,      439209801  2,1,3,AB,BC,BC, , , , , , , , , , , 
2025,      439303601  2,1,1,AB,K,K, , , , , , , , , , , 
2025,      439312901  2,1,2,AB,K,K, , , , , , , , , , , 
2025,      439313001  1,1,1,AB,K,BK, , , , , , , , , , , 
2025,      439400401  2,1,2,AF,CEK, ,K, , , , , , , , , , 
2025,      439405701  2,1,1,AB,CK,CK, , , , , , , , , , , 
2025,      439405901  2,1,2,AB,K,K, , , , ,2, , , , , , 
2025,      439412201  2,1,3,AB,EK,EK, , , , , , , , , , , 
2025,      439412701  8,1,1,AB,K,K, , , , , , , , , , , 
2025,      439504601  1,1,1,ACD,EK, ,K, ,2, , , , , , , , 
2025,      439504901  1,1,2,A,CX, , , , , , , , , , , , 
2025,      439508201  2,1,7,AB,K,K, , , , , , , , , , , 
2025,      439602201  2,1,4,AB,K,K, ,1, , , , , , , , , 
2025,      439602401  2,1,1,AB,AB,AB, ,2, , , , , , , , , 
2025,      439604801  2,1,2,AB,K,K, , , , , , , , , , , 
2025,      439604801  2,2,1,AF,BK, ,BK, , , , , , , , , , 
2025,      439704201  1,1,2,A,BK, , , , , , , , , , , , 
2025,      439704601  1,1,1,A,K, , , , , , , , , , , , 
2025,      439708401  1,1,2,A,K, , , , , , , , , , , , 
2025,      439709101  1,1,2,Y, , , , , , , , , , , , , 
2025,      439801101  2,1,1,AB,BK,K, , , , , , , , , , , 
2025,      439801501  2,1,2,A,BC, , , , , , , , , ,2, , 
2025,      439802101  1,1,2,AB,AB,AB, , , , , , , , , , , 
2025,      439803701  1,1,1,A,K, , , , , , , , , , , , 
2025,      439804101  2,1,1,AB,ABC,ABC, , , , , , , , , , , 
2025,      439805901  1,1,1,AB,BEK,K, ,1, , , , , , , , , 
2025,      439900501  2,1,2,AB,K,K, , , , , , , , , , , 
2025,      439900601  1,1,2,AB,CK,K, , , , , , , , , , , 
2025,      439913601  3,1,1,AC,BK, ,E, , , , , , , , , , 
2025,      439913701  2,1,1,AB,BCK,BK, , , , , , , , , , , 
2025,      439919201  2,1,3,AB,CK,CK, ,2, , , , , , , , , 
2025,      440001301  2,1,6,AB,K,B, ,2,2,2,2, ,2,2, , , 
2025,      440001301  2,2,5,AB,BK,BE, ,1,1,1,1, ,1,1, , , 
2025,      440002301  2,1,3,AB,B,BE, , , , , , , , , , , 
2025,      440002401  2,1,3,ABD,CK,CK,K, , , , , , , , , , 
2025,      440008201  2,1,3,AB,K,K, , , , , , , , , , , 
2025,      440104001  2,1,2,AB,BC,BC, , , , , , , , , , , 
2025,      440111001  2,1,2,AB,BC,BC, , , , , , , , , , , 
2025,      440111201  2,1,5,A,B, , , , , , , , , , , , 
2025,      440111201  2,2,4,A,B, , , , , , , , , , , , 
2025,      440112301  2,1,1,AB,ABC,BC, , , , , , , , , , , 
2025,      440200701  2,1,2,AB,K,K, , , , , , , , , , , 
2025,      440201501  2,1,1,A,K, , , , , , , , , , , , 
2025,      440202201  2,1,2,AB,K,K, ,1, ,1, , , , , , , 
2025,      440204201  1,1,3,A,K, , ,2,2, ,2, , , ,2,2, 
2025,      440206701  2,1,1,AB,CK,CK, , , , , , , , , , , 
2025,      440212201  2,1,2,AB,K,K, , , , , , , , , , , 
2025,      440301701  2,1,2,A,B, , , , , , , , , , , , 
2025,      440307901  2,1,2,A,BX, , ,1, ,1, , , , , , , 
2025,      440404201  3,1,2,A,BK, , ,1,2,2, , , , , , , 
2025,      440411701  1,1,2,A,K, , , , , , , , , , , , 
2025,      440411901  2,1,3,AD,CK, ,K, , , , , , , , , , 
2025,      440412601  2,1,1,AC,BCK, ,BCK, , , , , , , , , , 
2025,      440507601  1,1,3,A,BC, , ,2,2,2,2,2,2, ,2,2, 
2025,      440511601  2,1,1,A,K, , , , , , , , , , , , 
2025,      440513101  1,1,2,A,BGK, , , , , , , , , , , , 
2025,      440600501  3,1,1,AC,BCK, ,K, , , , , , , , , , 
2025,      440614101  3,1,2,ABC,ABK,BK,BCK, , , , , , , , , , 
2025,      440614101  3,2,1,ABC,AB,B,BC, , , , , , , , , , 
2025,      440614301  5,1,1,AB,K,K, , , , , , , , , , , 
2025,      440702401  3,1,1,AC,K, ,K, , , , , , , , , , 
2025,      440704101  2,1,2,AB,K,K, , , , , , , , , , , 
2025,      440704701  2,1,4,AB,BC,BC, , , , , , , , , , , 
2025,      440712801  2,1,4,AB,KX,K, , , , , , , , , , , 
2025,      440810701  2,1,2,A,CK, , , , , , , , , , , , 
2025,      440815201  1,1,2,AB,BK,BK, ,2, , , , , , , , , 
2025,      440816001  2,1,2,AB,B,B, ,2, , , , , , , , , 
2025,      440901201  1,1,2,A,BC, , , , , , , , , , , , 
2025,      440917301  2,1,1,AB,AB,B, , , , , , , , , , , 
2025,      441001101  1,1,4,A,BC, , , , , , , , , , , , 
2025,      441004801  2,1,3,AB,BK,BK, , , , , , , , , , , 
2025,      441008601  5,1,2,AB,K,K, , , , , , , , , , , 
2025,      441011101  1,1,2,A,B, , , , , , , , , , , , 
2025,      441101401  1,1,1,A,BK, , , , , , , , , , , , 
2025,      441104001  2,1,2,A,BG, , , , , , , , , , , , 
2025,      441108901  2,1,5,AB,K,K, , , , , , , , , , , 
2025,      441108901  2,2,4,AB,K,K, , , , , , , , , , , 
2025,      441203501  1,1,1,A,AB, , , , , , , , , , , , 
2025,      441210001  1,1,1,AC,BC, ,B, , , , , , , , , , 
2025,      441300801  2,1,2,ABD,BK,K,ABK, , , , , , , , , , 
2025,      441302101  1,1,4,AD,K, ,K, , , , , , , , , , 
2025,      441302801  3,1,1,AC,C, ,B, , , , , , , , , , 
2025,      441303201  2,1,2,AB,BCK,K, , , , , , , , , , , 
2025,      441304101  2,1,1,A,K, , , , , , , , , , , , 
2025,      441304801  1,1,3,A,CI, , ,2, , , , , , , , , 
2025,      441403301  2,1,1,AB,BK,BK, , , , , , , , , , , 
2025,      441404101  2,1,3,AD,ABC, ,BE,1, , ,1, , , ,2,2, 
2025,      441407401  1,1,2,A,C, , , , , , , , , , , , 
2025,      441500101  1,1,2,AB,ABK,BK, , , , , , , , , , , 
2025,      441501201  2,1,2,AB,BCK,BCK, , , , , , , , , , , 
2025,      441505401  1,1,2,A,CK, , , , , , , , , , , , 
2025,      441507001  4,1,2,AC,BCK, ,BCK, , , , , , , , , , 
2025,      441603701  2,1,4,AD,AB, ,B, , , , , , , , , , 
2025,      441606901  2,1,1,AB,K,K, , , , , , , , , , , 
2025,      441609201  1,1,1,A,ABCK, , , , , , , , , , , , 
2025,      441611701  2,1,3,A,B, , , , , , , , , , , , 
2025,      441613601  1,1,2,AB,ABK,ABK, , , , , , , , , , , 
2025,      441700301  2,1,1,AB,BK,ABK, , , , , , , , , , , 
2025,      441705101  2,1,1,AB,K,K, , , , , , , , , , , 
2025,      441804201  2,1,2,AB,K,K, , , , , , , , , , , 
2025,      441807601  1,1,3,A,K, , ,2, , , , , , ,2,2, 
2025,      441808101  1,1,1,AB,K,K, , , , , , , , , , , 
2025,      441902201  2,1,1,AB,BK,BK, , , , , , , , , , , 
2025,      441903501  2,1,4,AB,ABC,B, ,2, , , , , , , , , 
2025,      441904401  1,1,2,A,BC, , , , , , , , , , , , 
2025,      441906201  2,1,1,A,AK, , , , , , , , , , , , 
2025,      441907501  2,1,3,AB,AB,AB, , , , , , , , , , , 
2025,      441907701  5,1,1,AC,BK, ,BK, , , , , , , , , , 
2025,      442002601  2,1,1,AB,AB,B, , , , , , , , , , , 
2025,      442102201  4,1,1,AB,BK,BK, , , , , , , , , , , 
2025,      442107301  1,1,2,A,BCK, , , , , , , , , , , , 
2025,      442107601  1,1,4,A,BC, , ,2,2,2,2, , , , , , 
2025,      442202001  2,1,5,AD,BK, ,BK, , , , , , , , , , 
2025,      442203201  2,1,3,AB,B,B, , , , , , , , , , , 
2025,      442205101  2,1,4,A,B, , , , , , , , , , , , 
2025,      442205101  2,2,3,A,BC, , , , , , , , , , , , 
2025,      442209801  4,1,1,ABC,B,B,B, , , , , , , , , , 
2025,      442213001  2,1,2,AB,BCK,BCK, , , , , , , , , , , 
2025,      442301301  1,1,4,B, ,K, , , , , , , , , , , 
2025,      442302401  1,1,3,A,BK, , ,2,2,2,2, , , ,2, , 
2025,      442305201  2,1,3,AB,K,K, , , , , , , , , , , 
2025,      442305201  2,2,2,AB,K,K, , , , , , , , , , , 
2025,      442308001  2,1,1,AB,K,K, , , , , , , , , , , 
2025,      442309301  2,1,1,ABE,ABCK,K,K,2, , , , , , , , , 
2025,      442401501  1,1,2,A,BK, , , , , , , , , , , , 
2025,      442402101  2,1,1,AB,K,K, , , , , , , , , , , 
2025,      442403001  2,1,1,AB,K,K, ,2,2, , , , , , , , 
2025,      442403801  3,1,2,AB,K,K, , , , , , , , , , , 
2025,      442407701  2,1,1,AB,K,K, , , , , , , , , , , 
2025,      442500401  2,1,2,AB,BG,BG, , , , , , , , , , , 
2025,      442502101  1,1,1,AB,B,ABC, , , , , , , , , , , 
2025,      442507601  1,1,5,AB,BK,K, , , , , , , , , , , 
2025,      442600801  4,1,2,A,B, , , , , , , , , , , , 
2025,      442600801  4,2,1,A,BC, , , , , , , , , , , , 
2025,      442601001  2,1,2,AB,BCEK,BCEK, , , , , , , , , , , 
2025,      442603401  2,1,2,B, ,B, ,2, , , , , , , , , 
2025,      442606401  3,1,1,ABC,CK,K,BC, , , , , , , , , , 
2025,      442611901  3,1,2,A,BK, , , , , , , , , , , , 
2025,      442612101  2,1,2,AB,B,B, , , , , , , , , , , 
2025,      442615001  1,1,1,A,ABK, , , , , , , , , , , , 
2025,      442703101  2,1,1,AB,BCK,BCK, , , , , , , , , , , 
2025,      442704601  1,1,1,Y, , , , , , , , , , , , , 
2025,      442706201  2,1,2,AB,B,B, , , , , , , , , , , 
2025,      442711501  1,1,2,AB,B,B, ,2,2, , , , , , , , 
2025,      442803901  1,1,2,A,K, , , , , , , , , , , , 
2025,      442804401  2,1,1,AB,B,B, , , , , , , , , , , 
2025,      442814201  1,1,1,A,BC, , , , , , , , , , , , 
2025,      442816501  2,1,2,AB,BK,BK, ,2,2,2, , , , , , , 
2025,      442903401  1,1,1,Y, , , , , , , , , , , , , 
2025,      442906801  1,1,1,A,CE, , ,2, ,2, , , , , , , 
2025,      442908801  1,1,3,A,BK, , ,2, , , , , , , , , 
2025,      442908901  2,1,4,A,BE, , , , , , , , , , , , 
2025,      442909101  1,1,2,AB,ABCEK,ABCEK, , , , , , , , , , , 
2025,      443004501  2,1,4,AB,BC,BC, , , , , , , , , , , 
2025,      443004501  2,2,3,AB,BC,BC, , , , , , , , , , , 
2025,      443005001  1,1,3,A,ABC, , ,2,2,2,2, , , , , , 
2025,      443009301  6,1,1,A,BK, , , ,2, , , , , , , , 
2025,      443010801  2,1,1,AB,K,K, , , , , , , , , , , 
2025,      443100601  2,1,3,Y, , , , , , , , , , , , , 
2025,      443101001  1,1,1,A,E, , ,1,1,1, , , , , , , 
2025,      443101801  1,1,3,AB,CEK,K, , , , , , , , , , , 
2025,      443103101  2,1,1,AB,B,BE, , , , , , , , , , , 
2025,      443105501  2,1,2,ABD,K,K,K, , , , , , , , , , 
2025,      443202701  2,1,1,AB,CK,CK, , , , , , , , , , , 
2025,      443203201  2,1,4,AB,BC,BC, , , , , , , , , , , 
